,genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin,uniprot_id
443,Yoonia vestfoldensis,245188,LMG 22003,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Yoonia,GCA_002158905.1,60.7,4.0,AJ582226,54.2,5.0,25.0,,,37.0,32.0,UP000195273
444,Aeromonas media,651,ATCC33907,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,GCA_000287215.3,60.7,4.8,X74679,55.4,4.0,22.0,,,37.0,33.0,UP001067447
445,Fusobacterium pseudoperiodonticum,2663009,ChDC F213,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,GCA_002763695.1,28.0,2.7,FJ471665,49.8,30.0,36.0,35.0,37.0,37.0,7.0,UP000231773
446,Acholeplasma hippikon,264636,C1,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,GCA_900660755.1,31.0,1.5,AY538167,48.6,22.0,36.0,35.0,37.0,37.0,15.0,UP000290909
447,Mesoplasma chauliocola,216427,CHPA-2,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Mesoplasma,GCA_002290085.1,27.0,0.9,AY166704,49.5,10.0,34.5,32.0,37.0,37.0,27.0,UP000232229
448,Glycocaulis alkaliphilus,1434191,6B-8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Glycocaulis,GCA_004000605.1,63.4,3.0,KC222643,56.4,20.0,33.5,30.0,37.0,37.0,17.0,UP000647883
449,Vibrio alfacsensis,1074311,CAIM 1831,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,GCA_003544875.1,44.2,4.9,JF316656,53.9,20.0,33.5,30.0,37.0,37.0,17.0,UP000825137
450,Altererythrobacter dongtanensis,692370,JM27,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,GCA_001698205.1,65.8,3.0,GU166344,54.9,10.0,33.5,30.0,37.0,37.0,27.0,UP000092932
451,Mesoplasma coleopterae,324078,BARC 779,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Mesoplasma,GCA_002804245.1,27.2,0.8,DQ514605,49.5,10.0,33.5,30.0,37.0,37.0,27.0,UP000239316
452,Bacteroides zoogleoformans,28119,ATCC 33285,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,GCA_002998435.1,,3.4,L16488,53.3,25.0,33.5,30.0,37.0,37.0,12.0,UP000238304
453,Clostridium butyricum,1492,ATCC 19398,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,GCA_001456065.2,28.7,4.6,AB075768,51.8,10.0,33.5,30.0,37.0,37.0,27.0,UP001059326
454,Pseudoalteromonas phenolica,161398,O-BC30 ,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,GCA_001444405.1,40.6,4.9,AF332880,52.6,18.0,31.0,25.0,37.0,37.0,19.0,UP000310491
455,Lactobacillus koreensis,637971,DCY50,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,GCA_001050435.1,49.2,3.0,FJ904277,51.8,15.0,32.5,30.0,35.0,37.0,22.0,UP000036000
456,Acidithiobacillus ferrooxidans,920,ATCC 23270,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,GCA_000021485.1,58.8,3.0,NR_041888,56.3,10.0,32.5,30.0,35.0,37.0,27.0,UP000510800
457,Dehalogenimonas formicexedens,1839801,NSZ-14,Bacteria,Chloroflexi,Dehalococcoidia,,,Dehalogenimonas,GCA_001953175.1,54.0,2.1,KX274280,53.7,20.0,32.0,30.0,34.0,37.0,17.0,UP000185934
458,Desulfosarcina alkanivorans,571177,PL12,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfosarcina,GCA_009688945.1,56.6,7.3,AB468588,53.4,18.0,32.0,30.0,34.0,37.0,19.0,UP000427906
459,Corynebacterium marinum,349751,D7015,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,GCA_000835165.1,67.8,2.7,DQ219354,57.1,4.0,31.0,30.0,32.0,37.0,33.0,UP000604712
460,Sulfuricaulis limicola,1620215,HA5,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfuricaulis,GCA_002355735.1,61.4,2.9,LC030205,55.8,8.0,30.0,28.0,32.0,37.0,29.0,UP000243180
461,Sorangium cellulosum,56,So ce1871,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,GCA_000067165.1,71.4,13.0,NR_044443,56.7,20.0,30.0,28.0,32.0,37.0,17.0,UP000243698
462,Acidithiobacillus ferrivorans,160808,NO-37 ,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,GCA_000214095.3,56.6,3.2,AF376020,56.5,4.0,29.5,27.0,32.0,37.0,33.0,UP000739871
463,Edwardsiella piscicida,1263550,ET883,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,GCA_000348565.1,,3.9,MK937273,54.3,25.0,29.0,28.0,30.0,37.0,12.0,UP000464610
464,Edwardsiella anguillarum,1821960,ET080813,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,GCA_000264765.2,58.4,4.3,NR_136429,54.0,18.0,29.0,28.0,30.0,37.0,19.0,UP000830978
465,Erwinia billingiae,182337,LMG 2613,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,GCA_000196615.1,55.0,5.4,Y13249,53.2,4.0,29.0,28.0,30.0,37.0,33.0,UP000809422
466,Simplicispira suum,2109915,SC1-8,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Simplicispira,GCA_003008595.1,63.3,4.2,MH032763,54.1,4.0,29.0,28.0,30.0,37.0,33.0,UP000757943
467,Caulobacter flavus,1679497,RHGG3,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,GCA_003722335.1,69.3,5.7,KR086403,55.8,10.0,29.0,28.0,30.0,37.0,27.0,UP000281192
468,Cnuibacter physcomitrellae,1619308,XA,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Cnuibacter,GCA_002096055.1,70.8,4.4,KP334124,56.3,15.0,29.0,28.0,30.0,37.0,22.0,UP000633908
469,Massilia umbonata,864828,LP01,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,GCA_005280315.1,65.3,7.4,HM053474,53.6,4.0,29.0,28.0,30.0,37.0,33.0,UP000298763
470,Pseudoalteromonas issachenkonii,152297,KMM 3549 ,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,GCA_002310795.1,40.3,4.1,AF316144,53.0,4.0,29.0,28.0,30.0,37.0,33.0,UP000217258
471,Chondromyces crocatus,52,Cm c5,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Chondromyces,GCA_001189295.1,68.7,11.4,GU207874,57.5,18.0,29.0,28.0,30.0,37.0,19.0,UP000067626
472,Paraburkholderia aromaticivorans,2026199,BN5,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,GCA_002278075.1,62.9,8.9,MF817715,56.0,20.0,27.5,25.0,30.0,37.0,17.0,UP000215158
473,Sphingomonas panacis,1560345,DCY99 ,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,GCA_001717955.1,65.5,5.3,KM819014,54.0,10.0,27.5,25.0,30.0,37.0,27.0,UP000094256
474,Zhongshania aliphaticivorans,1470434,SM-2,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Zhongshania,GCA_001586255.1,50.7,4.2,KF982857,54.2,10.0,27.5,25.0,30.0,37.0,27.0,UP000429394
475,Luteimicrobium xylanilyticum,1133546,W-15,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,,Luteimicrobium,GCA_009429125.1,72.8,4.2,JQ039191,58.2,15.0,27.5,25.0,30.0,37.0,22.0,UP000326702
476,Pelolinea submarina,913107,MO-CFX1,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Pelolinea,GCA_003966975.1,50.6,3.5,AB598277,54.3,10.0,27.5,25.0,30.0,37.0,27.0,UP000280094
477,Alteromonas naphthalenivorans,715451,SN2 ,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,GCA_000213655.1,43.5,5.0,GU166736,52.4,4.0,27.5,25.0,30.0,37.0,33.0,UP000000683
478,Methylocystis bryophila,655015,H2s,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,GCA_002117405.1,63.1,4.7,FN422003,56.7,8.0,27.5,25.0,30.0,37.0,29.0,UP000193978
479,Flavobacterium anhuiense,459526,D3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,GCA_003590565.1,34.4,5.4,EU046269,53.1,5.0,27.5,25.0,30.0,37.0,32.0,UP001057285
480,Planococcus donghaensis,414778,JH1,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,GCA_001687665.2,40.1,3.3,EF079063,55.9,4.0,27.5,25.0,30.0,37.0,33.0,UP000092495
481,Kushneria marisflavi,157779,SW32,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Kushneria,GCA_002157205.1,59.0,3.7,AF251143,57.1,4.0,27.5,25.0,30.0,37.0,33.0,UP000285584
482,Oleiphilus messinensis,141451, ME102,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oleiphilaceae,Oleiphilus,GCA_002162375.1,47.8,6.4,AJ295154,55.0,10.0,27.5,25.0,30.0,37.0,27.0,UP000236720
483,Marinovum algicola,42444,FF3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marinovum,GCA_001046955.1,,5.3,X78315,55.0,10.0,27.5,25.0,30.0,37.0,27.0,UP000193088
484,Flavobacterium columnare,996,1-S-2cl,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,GCA_000240075.2,31.5,3.2,AB078047,51.3,15.0,27.5,25.0,30.0,37.0,22.0,UP000807382
485,Starkeya novella,921,ATCC 8093,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Starkeya,GCA_000092925.1,67.9,4.8,D32247,56.2,10.0,27.5,25.0,30.0,37.0,27.0,UP000249577
486,Pseudarthrobacter chlorophenolicus,85085,A6,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,GCA_000022025.1,66.0,5.0,AF102267,56.8,3.0,25.0,20.0,30.0,37.0,34.0,UP000182966
487,Sphaerotilus natans,34103,ATCC 13338,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Sphaerotilus,GCA_008329925.1,69.8,4.4,NR_104787,55.8,10.0,25.0,20.0,30.0,37.0,27.0,UP000186497
488,Glutamicibacter halophytocola,1933880,KLBMP 5180,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Glutamicibacter,GCA_001302565.1,60.0,3.9,JX993762,57.2,4.0,26.5,25.0,28.0,37.0,33.0,UP001060018
489,Lentzea guizhouensis,1586287,DHS C013,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Lentzea,GCA_001701025.1,70.0,10.0,KM597488,59.0,10.0,26.5,25.0,28.0,37.0,27.0,UP000093053
490,Pseudomonas marincola,437900,KMM 3042,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,GCA_900682675.1,57.3,4.8,AB301071,53.1,5.0,26.5,25.0,28.0,37.0,32.0,UP000325451
491,Pannonibacter phragmitetus,121719,C6/19 ,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pannonibacter,GCA_001484065.1,63.3,5.7,AJ400704,56.7,10.0,25.0,22.0,28.0,37.0,27.0,UP000037501
492,Phaeobacter gallaeciensis,60890,BS107,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Phaeobacter,GCA_000511385.1,59.4,4.5,Y13244,55.2,15.0,25.0,23.0,27.0,37.0,22.0,UP000218850
493,Pseudomonas mucidolens,46679,ATCC 4685,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,GCA_900475945.1,59.1,5.9,D84017,53.3,10.0,24.0,23.0,25.0,37.0,27.0,UP000249537
494,Aurantimicrobium minutum,708131,KNC,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Aurantimicrobium,GCA_002355535.1,52.8,1.6,AB540017,56.1,15.0,22.5,20.0,25.0,37.0,22.0,UP000243847
495,Shewanella japonica,93973,KMM 3299,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,GCA_002075795.1,40.8,5.0,AF145921,53.4,10.0,22.5,20.0,25.0,37.0,27.0,UP000191820
496,Pseudomonas alkylphenolica,237609,KL28,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,GCA_000746525.1,60.6,5.8,AY324319,54.0,4.0,21.5,18.0,25.0,37.0,33.0,UP000596806
497,Lacunisphaera limnophila,1838286,IG16b,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Lacunisphaera,GCA_001746835.1,66.5,4.2,KX058882,54.6,13.0,32.0,,,36.0,23.0,UP000095228
498,Geobacter pickeringii,345632,G13,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,GCA_000817955.1,62.3,3.6,DQ145535,56.4,10.0,30.0,,,36.0,26.0,UP000057609
499,Pseudomonas mosselii,78327,CFML 90-83 ,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,GCA_002309555.1,64.3,5.8,AF072688,53.9,10.0,30.0,,,36.0,26.0,UP001059087
500,Pseudomonas monteilii,76759,CFML 90-60 ,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,GCA_000510285.1,62.5,6.0,AF064458,54.2,10.0,30.0,,,36.0,26.0,UP000824844
501,Hypericibacter terrae,2602015,R5913,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,GCA_008728855.1,66.0,5.9,MG271952,57.1,20.0,30.0,27.0,33.0,36.0,16.0,UP000326202
502,Shewanella maritima,2520507,D4-2,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,GCA_004295345.1,44.5,4.7,MK212917,54.1,10.0,30.5,29.0,32.0,36.0,26.0,UP000291106
503,Immundisolibacter cernigliae,1810504,TR3.2,Bacteria,Proteobacteria,Gammaproteobacteria,Immundisolibacterales,Immundisolibacteraceae,Immundisolibacter,GCA_001697225.1,67.8,3.2,D84020,53.7,20.0,29.0,28.0,30.0,36.0,16.0,UP000092952
504,Fictibacillus phosphorivorans,1221500,Ca7,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Fictibacillus,GCA_001629705.2,39.3,4.2,JX258924,54.6,15.0,29.0,28.0,30.0,36.0,21.0,UP000366026
505,Pontibacter akesuensis,388950,AKS 1,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,GCA_001611675.1,51.0,4.8,DQ672723,57.3,4.0,29.0,28.0,30.0,36.0,32.0,UP000612553
506,Luteitalea pratensis,1855912,HEG_−6_39,Bacteria,Acidobacteria,Vicinamibacteria,,Vicinamibacteraceae,Luteitalea,GCA_001618865.1,67.2,7.5,KT287072,58.1,0.0,25.0,20.0,30.0,36.0,36.0,UP000076079
507,Phaeobacter inhibens,221822,T5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Phaeobacter,GCA_000154765.2,59.8,4.2,AY177712,54.8,4.0,28.0,27.0,29.0,36.0,32.0,UP001060257
508,Methylovulum psychrotolerans,1704499,Sph1,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylovulum,GCA_002209385.1,50.9,4.9,KT381578,55.1,2.0,22.5,20.0,25.0,36.0,34.0,UP000689533
509,Luteibacter pinisoli,2589080,MAH-14,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Luteibacter,GCA_006385595.1,66.1,4.6,KY964279,56.2,10.0,29.0,28.0,30.0,35.0,25.0,UP000316093
510,Ahniella affigens,2021234,D13,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Ahniella,GCA_003015185.1,60.5,6.1,KY649437,55.8,15.0,30.0,,,35.0,20.0,UP000241074
511,Paraphotobacterium marinum,1755811,NSCS20N07D,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Paraphotobacterium,GCA_002216855.1,31.2,2.6,KU140414,53.2,15.0,30.0,,,35.0,20.0,UP000242175
512,Pontimonas salivibrio,1159327,CL-TW6,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Pontimonas,GCA_002950575.1,58.3,1.8,JQ639087,56.3,15.0,30.0,,,35.0,20.0,UP000243077
513,Roseimaritima ulvae,980254,UC8,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Roseimaritima,GCA_008065135.1,59.1,8.2,HQ845508,55.5,15.0,30.0,,,35.0,20.0,UP000325286
514,Rhodanobacter denitrificans,666685,2APBS1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,GCA_000230695.3,67.5,4.2,FJ851443,56.7,10.0,30.0,,,35.0,25.0,UP000529185
515,Oscillibacter valericigenes,351091,Sjm18-20,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,GCA_000283575.1,53.2,4.5,AB238598,53.3,15.0,30.0,,,35.0,20.0,UP000719500
516,Psychrobacter alimentarius,261164,JG-100,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,GCA_001606025.1,42.9,3.3,AY513645,52.5,4.0,30.0,,,35.0,31.0,UP000076104
517,Gemmatimonas aurantiaca,173480,T-27,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,GCA_000010305.1,64.3,4.6,AB072735,60.2,25.0,30.0,,,35.0,10.0,UP000264071
518,Micropruina glycogenica,75385,JCM 10248,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Micropruina,GCA_900289045.1,68.3,3.8,AB012607,56.4,20.0,30.0,,,35.0,15.0,UP000238164
519,Desulfocapsa sulfexigens,65555,SB164P1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfocapsa,GCA_000341395.1,45.4,4.0,Y13672,52.7,4.0,30.0,,,35.0,31.0,UP000656771
520,Pseudoalteromonas tetraodonis,43659,GFC,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,GCA_002310835.1,40.3,4.1,AF214729,52.8,15.0,30.0,,,35.0,20.0,UP000217351
521,Pseudoalteromonas rubra,43658,Atcc 29570,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,GCA_001482385.1,47.7,5.9,X82147,52.7,10.0,30.0,,,35.0,25.0,UP000310244
522,Pseudoalteromonas nigrifaciens,28109,ATCC 19375,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,GCA_002221505.1,40.2,4.3,X82146,53.0,4.0,30.0,,,35.0,31.0,UP000321422
523,Pseudoalteromonas espejiana,28107,261,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,GCA_002221525.1,40.3,4.5,X82143,52.9,10.0,30.0,,,35.0,25.0,UP000321419
524,Pseudoalteromonas atlantica,288,ATCC 19262,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,GCA_000014225.1,44.6,5.2,X82134,53.1,5.0,30.0,,,35.0,30.0,UP000321189
525,Pseudoalteromonas carrageenovora,227,ATCC 43555,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,GCA_004328865.1,39.5,4.6,X82136,52.6,5.0,30.0,,,35.0,30.0,UP000318009
526,Sphingomonas hengshuiensis,1609977,WHSC-8,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,GCA_000935025.1,66.7,5.2,KC118516,53.7,20.0,28.0,,,35.0,15.0,UP000248614
527,Pseudomonas yamanorum,515393,8H1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,GCA_001612705.2,60.6,6.9,EU557337,53.6,4.0,28.0,,,35.0,31.0,UP000778140
528,Modestobacter marinus,477641,42H12-1,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Modestobacter,GCA_000306785.1,74.1,5.6,EU181225,59.0,4.0,28.0,,,35.0,31.0,UP000648663
529,Beggiatoa leptomitoformis,288004, D-402,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Beggiatoa,GCA_002849755.2,40.5,4.3,AY583996,52.0,8.0,28.0,,,35.0,27.0,UP000055853
530,Streptomyces tsukubensis,83656,SD504,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,GCA_009296025.1,70.4,8.6,EF540897,59.2,15.0,28.0,,,35.0,20.0,UP000327489
531,Polaribacter vadi,1774273,LPB0003,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,GCA_001761365.1,29.6,3.8,KT355267,49.5,4.0,25.0,,,35.0,31.0,UP000700174
532,Paenibacillus crassostreae,1763538,LPB0068,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_001857945.1,39.9,4.8,KU057345,54.7,4.0,25.0,,,35.0,31.0,UP000178049
533,Hydrogenophaga crassostreae,1763535,LPB0072,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,GCA_001761385.1,61.3,4.9,KU198320,54.2,4.0,25.0,,,35.0,31.0,UP000185657
534,Sulfuricurvum kujiense,148813,YK-1,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfuricurvum,GCA_000183725.1,44.6,2.8,AB053951,51.7,10.0,25.0,,,35.0,25.0,UP000228859
535,Aquisphaera giovannonii,406548,OJF2,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Isosphaeraceae,Aquisphaera,GCA_008087625.1,,10.5,DQ986200,61.4,10.0,32.5,30.0,35.0,35.0,25.0,UP000324233
536,Rugosibacter aromaticivorans,1565605,Ca6,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Rugosibacter,GCA_000934545.1,55.1,2.9,NR_156019,56.1,20.0,32.0,30.0,34.0,35.0,15.0,UP000061603
537,Phaeobacter piscinae,1580596,4月27日,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Phaeobacter,GCA_002407245.1,60.1,4.1,AJ536669,55.2,10.0,32.0,31.0,33.0,35.0,25.0,UP000236453
538,Mycobacterium haemophilum,29311,ATCC 29548,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,GCA_000340435.3,,4.2,X88923,57.8,25.0,31.0,30.0,32.0,35.0,10.0,UP000036536
539,Myxococcus xanthus,34,FB,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,GCA_000012685.1,68.9,9.1,AB218205,56.0,25.0,29.0,26.0,32.0,35.0,10.0,UP000595478
540,Filimonas lacunae,477680,YT21,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Filimonas,GCA_002355595.1,44.0,7.8,AB362776,49.4,10.0,29.0,28.0,30.0,35.0,25.0,UP000218563
541,Mariprofundus ferrinatatus,1921087,CP-8,Bacteria,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,GCA_002795825.1,53.7,2.3,CP018800,52.5,15.0,27.5,25.0,30.0,35.0,20.0,UP000231637
542,Flavivirga eckloniae,1803846,ECD14,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavivirga,GCA_002886045.1,33.9,5.7,KU725769,51.7,10.0,27.5,25.0,30.0,35.0,25.0,UP000235826
543,Ochrobactrum pituitosum,571256,CCUG 50899,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum,GCA_002025625.1,,5.5,AM490609,54.5,20.0,27.5,25.0,30.0,35.0,15.0,UP000718278
544,Tenacibaculum jejuense,584609,CNURIC013,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,GCA_900198195.1,30.3,4.6,FJ490366,49.4,15.0,27.5,25.0,30.0,35.0,20.0,UP000215214
545,Asticcacaulis excentricus,78587,AC48,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,GCA_000175215.2,59.5,4.3,AJ247194,54.4,15.0,27.5,25.0,30.0,35.0,20.0,UP000278756
546,Dehalococcoides mccartyi,61435,195,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,GCA_000011905.1,48.9,1.5,NR_074116,51.9,15.0,27.5,25.0,30.0,35.0,20.0,UP000824291
547,Alcanivorax borkumensis,59754,SK2,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,GCA_000009365.1,54.7,3.1,Y12579,54.6,10.0,27.5,25.0,30.0,35.0,25.0,UP000183874
548,Vibrio scophthalmi,45658,A089,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,GCA_001685465.1,44.6,4.9,U46579,53.8,22.0,26.0,22.0,30.0,35.0,13.0,UP001073614
549,Collimonas fungivorans,158899,Ter6,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Collimonas,GCA_001584145.1,59.0,5.6,AJ310394,53.0,4.0,25.0,20.0,30.0,35.0,31.0,UP000072421
