,Cellular component,Molecular function,Ligand,Biological process,PTM,no_keywords,Technical term,Domain
73349,Cytoplasm,tRNA-binding,Zinc,Protein biosynthesis,,,Reference proteome,
73397,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
73403,Cytoplasm,Serine protease,Nucleotide-binding,Stress response,,,Reference proteome,
73418,,Topoisomerase,Metal-binding,,,,Reference proteome,
73428,Cytoplasm,Transferase,Metal-binding,,,,Reference proteome,
73429,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,Coiled coil
73438,,Hydrolase,Nucleotide-binding,,,,Reference proteome,
73448,,Protease,Nucleotide-binding,,,,Reference proteome,Repeat
73457,,Hydrolase,Nucleotide-binding,,,,Reference proteome,
73458,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
73484,,Elongation factor,,Transcription regulation,,,Reference proteome,
73493,,Ribosomal protein,,,,,Reference proteome,
73519,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,Reference proteome,Repeat
73529,,Oxidoreductase,Pyridoxal phosphate,,,,Reference proteome,
73533,,Oxidoreductase,Nucleotide-binding,Deoxyribonucleotide synthesis,,,Reference proteome,
73548,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
73556,Cytoplasm,RNA-binding,,Transcription termination,,,Reference proteome,
73580,DNA-directed RNA polymerase,Transferase,,Transcription regulation,,,Reference proteome,
73587,Cytoplasm,Hydrolase,Nucleotide-binding,DNA repair,,,Reference proteome,
73595,,rRNA-binding,,,,,Reference proteome,
73600,,tRNA-binding,,,,,Reference proteome,
73602,,rRNA-binding,,,,,Reference proteome,
73607,,Ribosomal protein,,,,,Reference proteome,
73614,,Ribosomal protein,,,,,Reference proteome,
73625,,rRNA-binding,,,,,Reference proteome,
73626,,rRNA-binding,,,,,Reference proteome,
73662,,rRNA-binding,,,,,Reference proteome,
73698,,Ribosomal protein,,,,,Reference proteome,
73716,,rRNA-binding,,,,,Reference proteome,
73736,,rRNA-binding,,,,,Reference proteome,
73749,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
73751,,rRNA-binding,,,,,Reference proteome,
73753,Cytoplasm,Hydrolase,Nucleotide-binding,,,,Reference proteome,
73755,Cytoplasm,Hydrolase,Metal-binding,,,,Reference proteome,
73761,Cytoplasm,Chaperone,,,,,Reference proteome,
73764,,Transferase,,,,,Reference proteome,
73766,Cytoplasm,Excision nuclease,Zinc,SOS response,,,Reference proteome,Zinc-finger
73772,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,Coiled coil
73775,Membrane,RNA-binding,,,,,Reference proteome,Transmembrane helix
73782,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,
73799,Cytoplasm,,NAD,tRNA processing,,,Reference proteome,
73800,,Rotamase,,,,,Reference proteome,
73802,,Ligase,Nucleotide-binding,Lipid metabolism,,,Reference proteome,
73815,,Ribosomal protein,,,,,Reference proteome,
73817,,tRNA-binding,,,,,Reference proteome,
73854,,rRNA-binding,,,,,Reference proteome,
73856,,tRNA-binding,,,,,Reference proteome,
73859,,rRNA-binding,,,,,Reference proteome,
74166,,Ribosomal protein,,,,,Reference proteome,
74283,,,,,,,Reference proteome,
74311,,Chaperone,Nucleotide-binding,,,,Reference proteome,
74328,,,,,,,Reference proteome,
74526,,Ribosomal protein,,,,,Reference proteome,
74530,,Ribosomal protein,,,,,Reference proteome,
74588,,,,,,,Reference proteome,
74650,,,,,,,Reference proteome,
74829,,,Biotin,Lipid metabolism,,,Reference proteome,
74883,,,Zinc,,,,Reference proteome,
74963,,,Nucleotide-binding,Transcription regulation,,,Reference proteome,
74982,,Initiation factor,,Protein biosynthesis,,,Reference proteome,
75131,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
75166,Cytoplasm,DNA-binding,,Transcription regulation,,,Reference proteome,
75173,,,,,,,Reference proteome,
75194,,,,,,,Reference proteome,
75238,,,,,,,Reference proteome,
75284,,DNA-binding,,,Phosphoprotein,,Reference proteome,
75368,,Transferase,Nucleotide-binding,,,,Reference proteome,
75406,,Ribosomal protein,,,,,Reference proteome,
75408,,,,,,,Reference proteome,
75565,,DNA-binding,,,,,Reference proteome,
75787,,,,,,,Reference proteome,
76048,,,,,Phosphoprotein,,Reference proteome,
76113,,Protease,Zinc,,,,Reference proteome,
76220,,Ribosomal protein,,,,,Reference proteome,
76275,,Ribosomal protein,,,,,Reference proteome,
76353,,,Zinc,,,,Reference proteome,Zinc-finger
76741,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
76750,,tRNA-binding,,,,,Reference proteome,
76753,,Ribosomal protein,,,,,Reference proteome,
76758,,rRNA-binding,,,,,Reference proteome,
76762,,rRNA-binding,,,,,Reference proteome,
76774,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
76775,,tRNA-binding,,,,,Reference proteome,
76776,,rRNA-binding,,,,,Reference proteome,
76919,Cytoplasm,RNA-binding,,Cell wall biogenesis/degradation,,,Reference proteome,
77066,Cytoplasm,Sigma factor,,Transcription regulation,,,Reference proteome,
77073,,Ribosomal protein,,,,,Reference proteome,
77254,,,Nucleotide-binding,,,,Reference proteome,Coiled coil
77356,,Ribosomal protein,,,,,Reference proteome,
78661,,Ribosomal protein,,,,,Reference proteome,
78868,,DNA-binding,,,,,Reference proteome,
79067,,Lyase,Metal-binding,Leucine biosynthesis,,,Reference proteome,
79594,Cytoplasm,Sigma factor,,Transcription regulation,,,Reference proteome,
79675,,rRNA-binding,,,,,Reference proteome,
79682,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
79690,,tRNA-binding,,,,,Reference proteome,
79696,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
79705,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
79728,,tRNA-binding,,,,,Reference proteome,
79763,,Ribosomal protein,,,,,Reference proteome,
80376,,,,,,,Reference proteome,
82128,Cytoplasm,,,,,,Reference proteome,
82262,,DNA-binding,,,,,Reference proteome,
82302,,,,,,,Reference proteome,
82669,Cytoplasm,Serine protease,Nucleotide-binding,Stress response,,,Reference proteome,
82674,Membrane,Translocase,Nucleotide-binding,Transport,,,Reference proteome,Coiled coil
82680,Cytoplasm,Chaperone,Zinc,Stress response,,,Reference proteome,Zinc-finger
82691,Cytoplasm,Hydrolase,Nucleotide-binding,,,,Reference proteome,
82715,,Peroxidase,Metal-binding,Hydrogen peroxide,,,Reference proteome,
82746,Cytoplasm,tRNA-binding,Zinc,Protein biosynthesis,,,Reference proteome,
82774,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
82776,Membrane,Protease,Zinc,,,,Reference proteome,Transmembrane helix
82794,Cytoplasm,Transferase,Metal-binding,,,,Reference proteome,
82815,Cytoplasm,Topoisomerase,Nucleotide-binding,,,,Reference proteome,Coiled coil
82843,,rRNA-binding,,,,,Reference proteome,
82851,,RNA-binding,,,,,Reference proteome,Coiled coil
82865,,Hydrolase,Nucleotide-binding,,,,Reference proteome,
82873,,Ligase,Nucleotide-binding,,,,Reference proteome,
82886,,rRNA-binding,,,,,Reference proteome,
82888,,rRNA-binding,,,,,Reference proteome,
82889,,rRNA-binding,,,,,Reference proteome,
82893,,tRNA-binding,,,,,Reference proteome,
82898,,Oxidoreductase,Pyridoxal phosphate,,,,Reference proteome,
82901,,tRNA-binding,,,,,Reference proteome,
82909,,Rotamase,,,,,Reference proteome,
82915,Cytoplasm,Chaperone,,,,,Reference proteome,
82945,,rRNA-binding,,,,,Reference proteome,
82948,,Ribosomal protein,,,,,Reference proteome,
82950,,rRNA-binding,,,,,Reference proteome,
82951,,rRNA-binding,,,,,Reference proteome,
82953,,rRNA-binding,,,,,Reference proteome,
82956,,tRNA-binding,,,,,Reference proteome,
82959,,rRNA-binding,,,,,Reference proteome,
82960,,Ribosomal protein,,,,,Reference proteome,Coiled coil
82962,,rRNA-binding,,,,,Reference proteome,
82964,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
82966,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
82972,,Ligase,Nucleotide-binding,Lipid metabolism,,,Reference proteome,
82997,,Oxidoreductase,Nucleotide-binding,Deoxyribonucleotide synthesis,,,Reference proteome,
82998,,Elongation factor,,Transcription regulation,,,Reference proteome,
83022,,,Biotin,Lipid metabolism,,,Reference proteome,
83028,Cytoplasm,,NAD,tRNA processing,,,Reference proteome,
83035,,Transferase,,Tricarboxylic acid cycle,,,Reference proteome,Lipoyl
83044,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
83054,Cytoplasm,RNA-binding,,Transcription termination,,,Reference proteome,
83068,Cytoplasm,Hydrolase,Nucleotide-binding,DNA repair,,,Reference proteome,
83097,DNA-directed RNA polymerase,Transferase,,Transcription regulation,,,Reference proteome,
83099,,Ribosomal protein,,,,,Reference proteome,
83103,,Ribosomal protein,,,,,Reference proteome,
83124,Cytoplasm,Hydrolase,Metal-binding,,,,Reference proteome,
83129,,Transferase,,,,,Reference proteome,
83147,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
83170,,Ribosomal protein,,,,,Reference proteome,
83189,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,Coiled coil
83211,,Hydrolase,Nucleotide-binding,,,,Reference proteome,
83218,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,Reference proteome,Repeat
83221,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
83397,,Ribosomal protein,,,,,Reference proteome,
83452,,,,,Phosphoprotein,,Reference proteome,
83527,,,Zinc,,,,Reference proteome,
83565,,,,,,,Reference proteome,
83580,,,,,,,Reference proteome,
83623,,Protease,Zinc,,,,Reference proteome,
83691,,,,,,,Reference proteome,
83709,,DNA-binding,,,,,Reference proteome,
83733,,,,,,,Reference proteome,
83864,,DNA-binding,,,Phosphoprotein,,Reference proteome,
83886,,Ribosomal protein,,,,,Reference proteome,
83942,,,Zinc,,,,Reference proteome,Zinc-finger
84052,,DNA-binding,,,,,Reference proteome,
84084,,DNA-binding,Nucleotide-binding,Transcription regulation,,,Reference proteome,
84332,,Ribosomal protein,,,,,Reference proteome,
84540,,,,,,,Reference proteome,
84646,,,,,,,Reference proteome,
84741,,Ribosomal protein,,,,,Reference proteome,
84866,,Chaperone,Nucleotide-binding,,,,Reference proteome,Repeat
84875,Cytoplasm,DNA-binding,,Transcription regulation,,,Reference proteome,
84947,,,,,,,Reference proteome,
85024,,Ribosomal protein,,,,,Reference proteome,
85110,,Chaperone,Nucleotide-binding,,,,Reference proteome,
85139,,Initiation factor,,Protein biosynthesis,,,Reference proteome,
85228,Cytoplasm,Excision nuclease,Zinc,DNA repair,,,Reference proteome,Zinc-finger
85347,,,,,,,Reference proteome,
85580,,Lyase,Metal-binding,Branched-chain amino acid biosynthesis,,,,
85610,Membrane,Translocase,Ubiquinone,,Quinone,,,Repeat
85630,,Nuclease,Metal-binding,DNA repair,,,,
85675,,Ligase,Nucleotide-binding,Tricarboxylic acid cycle,,,,
85703,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,,Coiled coil
85790,Cytoplasm,Excision nuclease,Zinc,SOS response,,,,Zinc-finger
85812,,,,Transcription termination,,,,
85813,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
85885,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,,
85926,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,
85935,Cytoplasm,Ligase,Nucleotide-binding,Arginine biosynthesis,,,,
85985,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
86037,,rRNA-binding,,,,,,
86119,,rRNA-binding,,,,,,
86169,,Ribosomal protein,,,,,,
86313,,rRNA-binding,,,Methylation,,,
86317,,tRNA-binding,,,,,,
86319,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
86320,,Ribosomal protein,,,,,,
86324,,rRNA-binding,,,,,,
86325,,rRNA-binding,,,,,,
86341,,rRNA-binding,,,,,,
86343,,Ribosomal protein,,,,,,
86364,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,,Repeat
86704,Cytoplasm,DNA-binding,,Transcription regulation,,,,
86819,,Ribosomal protein,,,,,,
87213,,,Metal-binding,Transport,,,,
88101,,tRNA-binding,,,,,,
88403,,Transferase,,,,,,
88452,Membrane,Translocase,Nucleotide-binding,Transport,,,,
88525,,Ribosomal protein,,,,,,
89172,,,Nucleotide-binding,,,,,
90446,,tRNA-binding,,,,,,
91441,,,Nucleotide-binding,Stress response,Phosphoprotein,,,
91489,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,,Coiled coil
91494,Cytoplasm,Topoisomerase,Nucleotide-binding,,,,,Coiled coil
91523,Cytoplasm,tRNA-binding,Nucleotide-binding,Ribosome biogenesis,,,,
91529,,Topoisomerase,Zinc,,,,,Zinc-finger
91532,Cytoplasm,Transferase,Metal-binding,,,,,
91535,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,,
91556,Cytoplasm,Hydrolase,Nucleotide-binding,,,,,
91595,Cytoplasm,Excision nuclease,Zinc,SOS response,,,,Zinc-finger
91611,,Multifunctional enzyme,Nucleotide-binding,,,,,
91616,Cytoplasm,Transferase,NADP,tRNA processing,,,,Coiled coil
91634,,Topoisomerase,Nucleotide-binding,,,,,
91685,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,,Coiled coil
91704,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,,Coiled coil
91709,Membrane,Translocase,Zinc,Transport,,,,
91715,Cytoplasm,tRNA-binding,Zinc,Protein biosynthesis,,,,
91749,,Ribosomal protein,,,,,,
91753,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
91754,,Ribosomal protein,,,,,,
91755,,Ribosomal protein,,,,,,
91770,,tRNA-binding,,,,,,
91772,,rRNA-binding,,,,,,
91773,,rRNA-binding,,,,,,
91774,,rRNA-binding,,,,,,
91800,Cytoplasm,Chaperone,,,,,,
91846,DNA-directed RNA polymerase,Transferase,,Transcription,,,,
91856,,rRNA-binding,,,,,,
91858,,tRNA-binding,,,,,,
91870,,Ribosomal protein,,,,,,
91872,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,,
91874,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,,
91882,,Ribosomal protein,,,,,,Coiled coil
91887,Membrane,RNA-binding,,,,,,Transmembrane helix
91892,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
91898,,rRNA-binding,,,,,,
91901,,rRNA-binding,,,,,,
91922,,Oxidoreductase,Pyridoxal phosphate,,,,,
91938,,Oxidoreductase,Nucleotide-binding,DNA synthesis,,,,
91948,Cytoplasm,DNA-binding,Nucleotide-binding,DNA replication,,,,
91971,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
91977,,Ribosomal protein,,,,,,
92007,,,,,,,,Lipoyl
92036,Cytoplasm,RNA-binding,,,,,,
92069,Cytoplasm,,,Protein biosynthesis,Methylation,,,Coiled coil
92077,,Lyase,Pyruvate,,,,,
92095,,Ribosomal protein,,,,,,
92109,Cytoplasm,,,Ribosome biogenesis,,,,
92169,,RNA-binding,,Transcription regulation,,,,
92170,,Ribosomal protein,,,,,,
92174,Cytoplasm,Sigma factor,,Transcription regulation,,,,Coiled coil
92205,Membrane,Receptor,Nucleotide-binding,Cell division,,,,
92214,Cytoplasm,Initiation factor,,Protein biosynthesis,,,,
92233,,Oxidoreductase,,,,,,
92251,Cytoplasm,,,Protein biosynthesis,Methylation,,,Coiled coil
92265,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,Coiled coil
92279,,rRNA-binding,,,,,,
92341,,rRNA-binding,,,,,,
92361,Cytoplasm,,NAD,tRNA processing,,,,
92380,,DNA-binding,,,,,,
92391,,Ribosomal protein,,,,,,
92457,,Ribosomal protein,,,,,,
92849,,Ribosomal protein,,,,,,
92884,,,,Septation,,,,
92894,,Protease,Nucleotide-binding,,,,,Repeat
92917,,,,,,,,Coiled coil
92920,,Sigma factor,,Transcription regulation,,,,
93086,Cytoplasm,,,,,,,
93090,,DNA-binding,,DNA condensation,,,,
93101,,,Metal-binding,Transport,,,,
93201,,Isomerase,Metal-binding,,,,,
93316,,DNA-binding,,,,,,Coiled coil
93391,,,,,,True,,
93697,,,,,,True,,
93814,,,,,,True,,
93965,Cytoplasm,,,Cell division,,,,Coiled coil
94015,Cytoplasm,,,,,,,
94028,,,,,,True,,
94215,,,Nucleotide-binding,,,,,
94218,Cytoplasm,,,,,,,
94242,,,,,,True,,
94300,,,Zinc,,,,,
94419,,,,,,True,,
94454,,,,,,True,,
94468,,Ribosomal protein,,,,,,
94484,,Ribosomal protein,,,,,,
94533,,,Nucleotide-binding,,,,,
94559,Membrane,,,,,,,Transmembrane helix
94788,,DNA-binding,,Two-component regulatory system,Phosphoprotein,,,
95037,Membrane,,Metal-binding,,,,,Transmembrane helix
95327,,DNA-binding,,Two-component regulatory system,Phosphoprotein,,,
95396,,,,,,True,,
95904,Membrane,Protease,Zinc,,,,,Transmembrane helix
95945,,Oxidoreductase,NAD,,,,,
95965,,RNA-binding,Metal-binding,Tricarboxylic acid cycle,,,,
95972,Cytoplasm,Transferase,Zinc,Lipid metabolism,,,,Zinc-finger
95992,Cytoplasm,Transferase,Metal-binding,,,,,
96013,,Peroxidase,Metal-binding,Hydrogen peroxide,,,,
96040,Cytoplasm,Protease,Nucleotide-binding,,,,,
96053,,Ligase,Nucleotide-binding,Pyrimidine biosynthesis,,,,Repeat
96068,,Transferase,Nucleotide-binding,,,,,
96076,,Topoisomerase,Zinc,,,,,Zinc-finger
96122,DNA-directed RNA polymerase,Transferase,,Transcription,,,,Coiled coil
96128,,Lyase,Zinc,Thiamine biosynthesis,,,,
96150,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,,
96160,,RNA-binding,Nucleotide-binding,Transcription termination,,,,
96193,Cytoplasm,Hydrolase,Zinc,SOS response,,,,Zinc-finger
96246,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
96249,,rRNA-binding,,,,,,
96250,,,Metal-binding,Transport,,,,Repeat
96251,,rRNA-binding,,,,,,
96252,,tRNA-binding,,,,,,
96253,,Ribosomal protein,,,,,,
96255,,Ribosomal protein,,,,,,
96256,,rRNA-binding,,,Methylation,,,
96257,,Ribosomal protein,,,,,,
96262,,Ribosomal protein,,,,,,
96267,,rRNA-binding,,,,,,
96271,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,,
96272,,rRNA-binding,,,,,,
96318,,rRNA-binding,,,,,,
96339,,tRNA-binding,,,,,,
96344,Cytoplasm,Chaperone,,,,,,
96377,,Ribosomal protein,,,,,,
96464,,rRNA-binding,,,,,,
96519,,rRNA-binding,,,,,,
96521,,rRNA-binding,,,,,,
96585,,Ligase,Nucleotide-binding,Purine biosynthesis,,,,
96628,,Oxidoreductase,NADP,Tricarboxylic acid cycle,,,,
96658,,tRNA-binding,,,,,,
96672,,Protease,Zinc,,,,,
96681,,Lyase,Metal-binding,,,,,
96688,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
96721,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
96746,,rRNA-binding,,,,,,
96846,,Ribosomal protein,,,,,,
96868,,Lyase,,Leucine biosynthesis,,,,
96883,,Ribosomal protein,,,,,,
96886,,Ribosomal protein,,,,,,
96970,Cytoplasm,Ligase,Nucleotide-binding,Arginine biosynthesis,,,,
97024,,Ribosomal protein,,,,,,
97025,,Ribosomal protein,,,,,,
97028,,Ribosomal protein,,,,,,
97032,,,,,Phosphoprotein,,,
97039,,DNA-binding,,,,,,
97141,,Oxidoreductase,Flavoprotein,,,,,
97775,,,Biotin,,,,,
97929,,Transferase,,,,,,
98116,Cytoplasm,DNA-binding,,Transcription regulation,,,,
98290,,,Nucleotide-binding,,,,,
98709,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,,
99325,Cytoplasm,Excision nuclease,Zinc,SOS response,,,,Zinc-finger
99336,Cytoplasm,Topoisomerase,Nucleotide-binding,,,,,Coiled coil
99338,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,,Coiled coil
99347,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,,Coiled coil
99350,Membrane,Translocase,Zinc,Transport,,,,
99353,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,,
99397,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,,Coiled coil
99402,Cytoplasm,tRNA-binding,Nucleotide-binding,Ribosome biogenesis,,,,
99416,Cytoplasm,tRNA-binding,Zinc,Protein biosynthesis,,,,
99441,,RNA-binding,Nucleotide-binding,Transcription termination,,,,
99466,,Topoisomerase,Nucleotide-binding,,,,,
99499,Cytoplasm,Transferase,Nucleotide-binding,Nucleotide metabolism,Phosphoprotein,,,
99523,,Topoisomerase,Zinc,,,,,Zinc-finger
99525,,,,,,,,Lipoyl
99536,,rRNA-binding,,,,,,
99537,,Ribosomal protein,,,,,,
99540,,rRNA-binding,,,,,,
99542,Cytoplasm,rRNA-binding,,Protein biosynthesis,Phosphoprotein,,,
99544,,rRNA-binding,,,,,,
99546,,tRNA-binding,,,,,,
99547,,rRNA-binding,,,,,,
99548,,tRNA-binding,,,,,,
99551,Cytoplasm,,,Transcription regulation,Disulfide bond,,,Redox-active center
99552,Cytoplasm,Initiation factor,,Protein biosynthesis,,,,
99554,,rRNA-binding,,,,,,
99566,,Ribosomal protein,,,,,,
99567,,rRNA-binding,,,,,,
99568,,Ribosomal protein,,,,,,
99570,,Ribosomal protein,,,,,,
99576,,rRNA-binding,,,,,,
99579,,Ribosomal protein,,,,,,
99596,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,,
99620,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,,
99626,,Oxidoreductase,Pyridoxal phosphate,,,,,
99659,DNA-directed RNA polymerase,Transferase,,Transcription,,,,
99661,Cytoplasm,Chaperone,,,,,,
99667,Membrane,RNA-binding,,,,,,Transmembrane helix
99692,,Ribosomal protein,,,,,,
